13.9236 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 11), ('stimulus', u'D'), ('cond', u'distractor')])
13.9441 	EXP 	mask: autoDraw = False
13.9441 	EXP 	text_2: autoDraw = False
13.9441 	EXP 	mask: autoDraw = False
13.9441 	EXP 	text_2: text = u'D'
13.9441 	EXP 	text_2: autoDraw = True
13.9899 	EXP 	text_2: autoDraw = False
14.0062 	EXP 	mask: autoDraw = True
14.0068 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 12), ('stimulus', u'F'), ('cond', u'distractor')])
14.0547 	EXP 	mask: autoDraw = False
14.0547 	EXP 	text_2: autoDraw = False
14.0547 	EXP 	mask: autoDraw = False
14.0547 	EXP 	text_2: text = u'F'
14.0547 	EXP 	text_2: autoDraw = True
14.0732 	EXP 	text_2: autoDraw = False
14.0896 	EXP 	mask: autoDraw = True
14.0902 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 13), ('stimulus', u' '), ('cond', u'mask')])
14.1080 	EXP 	mask: autoDraw = False
14.1080 	EXP 	text_2: autoDraw = False
14.1080 	EXP 	mask: autoDraw = False
14.1080 	EXP 	text_2: text = u' '
14.1080 	EXP 	text_2: autoDraw = True
14.1568 	EXP 	text_2: autoDraw = False
14.1733 	EXP 	mask: autoDraw = True
14.1738 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 14), ('stimulus', u'E'), ('cond', u'distractor')])
14.1922 	EXP 	mask: autoDraw = False
14.1922 	EXP 	text_2: autoDraw = False
14.1922 	EXP 	mask: autoDraw = False
14.1922 	EXP 	text_2: text = u'E'
14.1922 	EXP 	text_2: autoDraw = True
14.2401 	EXP 	text_2: autoDraw = False
14.2566 	EXP 	mask: autoDraw = True
14.2573 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 2), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 15), ('stimulus', u'U'), ('cond', u'distractor')])
14.2770 	EXP 	mask: autoDraw = False
14.2770 	EXP 	text_2: autoDraw = False
14.2770 	EXP 	mask: autoDraw = False
14.2770 	EXP 	text_2: text = u'U'
14.2770 	EXP 	text_2: autoDraw = True
14.3232 	EXP 	text_2: autoDraw = False
14.3400 	EXP 	mask: autoDraw = True
14.3567 	EXP 	mask: autoDraw = False
14.3567 	EXP 	text_2: autoDraw = False
14.3567 	EXP 	mask: autoDraw = False
15.3731 	EXP 	Probe_t1: autoDraw = True
15.4238 	DATA 	Keypress: 1
15.4391 	EXP 	Probe_t1: autoDraw = False
15.4391 	EXP 	Probe_t2: autoDraw = True
15.6069 	DATA 	Keypress: 1
15.6227 	EXP 	Probe_t2: autoDraw = False
15.6227 	EXP 	blank: autoDraw = True
16.3566 	EXP 	New trial (rep=2, index=0): None
16.3798 	EXP 	blank: autoDraw = False
16.3798 	EXP 	blank: autoDraw = False
16.3798 	EXP 	text: text = 3
16.3798 	EXP 	text: autoDraw = True
16.5611 	EXP 	Imported tmp_stimuli.csv as conditions, 16 conditions, 6 params
16.5614 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
16.5619 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 1), ('stimulus', u'H'), ('cond', u'distractor')])
16.6068 	EXP 	text: autoDraw = False
16.6068 	EXP 	text: autoDraw = False
16.6068 	EXP 	text_2: text = u'H'
16.6068 	EXP 	text_2: autoDraw = True
16.6234 	EXP 	text_2: autoDraw = False
16.6396 	EXP 	mask: autoDraw = True
16.6402 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 2), ('stimulus', u'U'), ('cond', u'distractor')])
16.6587 	EXP 	mask: autoDraw = False
16.6587 	EXP 	text_2: autoDraw = False
16.6587 	EXP 	mask: autoDraw = False
16.6587 	EXP 	text_2: text = u'U'
16.6587 	EXP 	text_2: autoDraw = True
16.7064 	EXP 	text_2: autoDraw = False
16.7232 	EXP 	mask: autoDraw = True
16.7238 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 3), ('stimulus', u'I'), ('cond', u'distractor')])
16.7424 	EXP 	mask: autoDraw = False
16.7424 	EXP 	text_2: autoDraw = False
16.7424 	EXP 	mask: autoDraw = False
16.7424 	EXP 	text_2: text = u'I'
16.7424 	EXP 	text_2: autoDraw = True
16.7912 	EXP 	text_2: autoDraw = False
16.7912 	EXP 	mask: autoDraw = True
16.8083 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 4), ('stimulus', u'E'), ('cond', u'distractor')])
16.8268 	EXP 	mask: autoDraw = False
16.8268 	EXP 	text_2: autoDraw = False
16.8268 	EXP 	mask: autoDraw = False
16.8268 	EXP 	text_2: text = u'E'
16.8268 	EXP 	text_2: autoDraw = True
16.8735 	EXP 	text_2: autoDraw = False
16.8898 	EXP 	mask: autoDraw = True
16.8904 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 5), ('stimulus', u'V'), ('cond', u'distractor')])
16.9087 	EXP 	mask: autoDraw = False
16.9087 	EXP 	text_2: autoDraw = False
16.9087 	EXP 	mask: autoDraw = False
16.9087 	EXP 	text_2: text = u'V'
16.9087 	EXP 	text_2: autoDraw = True
16.9573 	EXP 	text_2: autoDraw = False
16.9729 	EXP 	mask: autoDraw = True
16.9735 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 6), ('stimulus', u'V'), ('cond', u'distractor')])
16.9896 	EXP 	mask: autoDraw = False
16.9896 	EXP 	text_2: autoDraw = False
16.9896 	EXP 	mask: autoDraw = False
16.9896 	EXP 	text_2: text = u'V'
16.9896 	EXP 	text_2: autoDraw = True
17.0398 	EXP 	text_2: autoDraw = False
17.0568 	EXP 	mask: autoDraw = True
17.0575 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 7), ('stimulus', u'B'), ('cond', u'distractor')])
17.0757 	EXP 	mask: autoDraw = False
17.0757 	EXP 	text_2: autoDraw = False
17.0757 	EXP 	mask: autoDraw = False
17.0757 	EXP 	text_2: text = u'B'
17.0757 	EXP 	text_2: autoDraw = True
17.1231 	EXP 	text_2: autoDraw = False
17.1396 	EXP 	mask: autoDraw = True
17.1402 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 8), ('stimulus', u'3'), ('cond', u'target')])
17.1851 	EXP 	mask: autoDraw = False
17.1851 	EXP 	text_2: autoDraw = False
17.1851 	EXP 	mask: autoDraw = False
17.1851 	EXP 	text_2: text = u'3'
17.1851 	EXP 	text_2: autoDraw = True
17.2066 	EXP 	text_2: autoDraw = False
17.2245 	EXP 	mask: autoDraw = True
17.2261 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 9), ('stimulus', u'Q'), ('cond', u'distractor')])
17.2751 	EXP 	mask: autoDraw = False
17.2751 	EXP 	text_2: autoDraw = False
17.2751 	EXP 	mask: autoDraw = False
17.2751 	EXP 	text_2: text = u'Q'
17.2751 	EXP 	text_2: autoDraw = True
17.2751 	EXP 	text_2: autoDraw = False
17.3071 	EXP 	mask: autoDraw = True
17.3080 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 3), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 10), ('stimulus', u'X'), ('cond', u'distractor')])
17.3277 	EXP 	mask: autoDraw = False
17.3277 	EXP 	text_2: autoDraw = False
17.3277 	EXP 	mask: autoDraw = False
17.3277 	EXP 	text_2: text = u'X'
