243.2315 	DATA 	Keypress: space
243.7318 	DATA 	Keypress: space
244.2860 	DATA 	Keypress: space
244.8321 	DATA 	Keypress: space
245.3911 	DATA 	Keypress: space
245.9321 	DATA 	Keypress: space
246.4851 	DATA 	Keypress: space
246.9824 	DATA 	Keypress: space
247.5353 	DATA 	Keypress: space
248.1178 	DATA 	Keypress: space
248.6883 	DATA 	Keypress: space
249.1719 	DATA 	Keypress: space
249.7682 	DATA 	Keypress: space
250.2519 	DATA 	Keypress: space
250.7667 	DATA 	Keypress: space
251.2853 	DATA 	Keypress: space
251.8186 	DATA 	Keypress: space
252.3352 	DATA 	Keypress: space
252.8539 	DATA 	Keypress: space
253.3943 	DATA 	Keypress: space
253.8865 	DATA 	Keypress: space
254.4690 	DATA 	Keypress: space
254.9384 	DATA 	Keypress: space
255.4199 	DATA 	Keypress: space
256.0341 	DATA 	Keypress: space
256.6544 	DATA 	Keypress: space
257.1542 	DATA 	Keypress: space
257.5867 	DATA 	Keypress: space
258.1219 	DATA 	Keypress: space
258.8232 	DATA 	Keypress: space
259.3547 	DATA 	Keypress: space
259.5510 	EXP 	window1: mouseVisible = True
