1.3681 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
17.5977 	EXP 	window1: blendMode = 'avg'
17.6143 	EXP 	window1: blendMode = 'avg'
17.6310 	EXP 	window1: blendMode = 'avg'
17.6477 	EXP 	window1: blendMode = 'avg'
17.6643 	EXP 	window1: blendMode = 'avg'
17.6812 	EXP 	window1: blendMode = 'avg'
17.6977 	EXP 	window1: blendMode = 'avg'
17.7145 	EXP 	window1: blendMode = 'avg'
17.7310 	EXP 	window1: blendMode = 'avg'
17.7478 	EXP 	window1: blendMode = 'avg'
17.7643 	EXP 	window1: blendMode = 'avg'
17.7810 	EXP 	window1: blendMode = 'avg'
17.7977 	EXP 	window1: blendMode = 'avg'
17.8143 	EXP 	window1: blendMode = 'avg'
17.8310 	EXP 	window1: blendMode = 'avg'
17.8477 	EXP 	window1: blendMode = 'avg'
17.8643 	EXP 	window1: blendMode = 'avg'
17.8810 	EXP 	window1: blendMode = 'avg'
17.8977 	EXP 	window1: blendMode = 'avg'
17.9143 	EXP 	window1: blendMode = 'avg'
17.9310 	EXP 	window1: blendMode = 'avg'
17.9478 	EXP 	window1: blendMode = 'avg'
17.9642 	EXP 	window1: blendMode = 'avg'
17.9805 	EXP 	Sound  stopped
17.9813 	EXP 	New trial (rep=5, index=0): None
17.9838 	EXP 	Set  sound=clock-tick1.wav
17.9848 	EXP 	Sound  started
17.9854 	EXP 	window1: blendMode = 'avg'
17.9970 	EXP 	crosshair: autoDraw = True
17.9977 	DATA 	Keypress: space
17.9985 	EXP 	window1: blendMode = 'avg'
18.0143 	EXP 	window1: blendMode = 'avg'
18.0310 	EXP 	window1: blendMode = 'avg'
18.0478 	EXP 	window1: blendMode = 'avg'
18.0643 	EXP 	window1: blendMode = 'avg'
18.0810 	EXP 	window1: blendMode = 'avg'
18.0981 	EXP 	window1: blendMode = 'avg'
18.1143 	EXP 	window1: blendMode = 'avg'
18.1310 	EXP 	window1: blendMode = 'avg'
